Restaurant_Name,Date,Daily_Revenue,Daily_Inventory_Cost,Daily_Labor_Cost,Profit
Gourmet Haven,2023-01-01,7367.25,1191.33,229.46,5946.46
Gourmet Haven,2023-01-02,7286.41,0.0,212.33999999999997,7074.07
Gourmet Haven,2023-01-03,6785.42,0.0,147.78,6637.64
Gourmet Haven,2023-01-04,7516.49,0.0,204.5,7311.99
Gourmet Haven,2023-01-05,7377.36,0.0,232.39999999999998,7144.96
Gourmet Haven,2023-01-06,7584.27,0.0,245.68,7338.59
Gourmet Haven,2023-01-07,7297.91,0.0,211.8,7086.11
Gourmet Haven,2023-01-08,7417.07,1035.6,144.72,6236.75
Gourmet Haven,2023-01-09,7629.64,0.0,198.85999999999999,7430.780000000001
Gourmet Haven,2023-01-10,7633.15,0.0,241.85999999999999,7391.29
Gourmet Haven,2023-01-11,7533.52,0.0,234.74,7298.780000000001
Gourmet Haven,2023-01-12,7546.92,0.0,206.16,7340.76
Gourmet Haven,2023-01-13,7538.92,0.0,208.04,7330.88
Gourmet Haven,2023-01-14,7006.01,0.0,175.14,6830.87
Gourmet Haven,2023-01-15,7112.15,930.1400000000001,243.66,5938.349999999999
Gourmet Haven,2023-01-16,7123.01,0.0,246.95999999999998,6876.05
Gourmet Haven,2023-01-17,7271.59,0.0,265.32,7006.27
Gourmet Haven,2023-01-18,7314.349999999999,0.0,303.7,7010.65
Gourmet Haven,2023-01-19,7019.18,0.0,271.5,6747.68
Gourmet Haven,2023-01-20,7827.39,0.0,151.14,7676.25
Gourmet Haven,2023-01-21,7940.49,0.0,266.72,7673.7699999999995
Gourmet Haven,2023-01-22,7009.14,841.3,119.03999999999999,6048.8
Gourmet Haven,2023-01-23,7399.0,0.0,202.89999999999998,7196.1
Gourmet Haven,2023-01-24,7447.12,0.0,174.71999999999997,7272.4
Gourmet Haven,2023-01-25,7752.9,0.0,185.64000000000001,7567.259999999999
Gourmet Haven,2023-01-26,6793.12,0.0,179.0,6614.12
Gourmet Haven,2023-01-27,7154.03,0.0,118.8,7035.23
Gourmet Haven,2023-01-28,7252.53,0.0,273.18,6979.349999999999
Gourmet Haven,2023-01-29,8170.05,1034.4099999999999,239.92000000000002,6895.72
Gourmet Haven,2023-01-30,6938.5599999999995,0.0,302.9,6635.66
Gourmet Haven,2023-01-31,6977.64,0.0,203.7,6773.9400000000005
Gourmet Haven,2023-02-01,7087.23,0.0,181.62,6905.61
Gourmet Haven,2023-02-02,6984.7,0.0,181.04,6803.66
Gourmet Haven,2023-02-03,7555.7,0.0,213.22000000000003,7342.48
Gourmet Haven,2023-02-04,7569.16,0.0,216.14,7353.0199999999995
Gourmet Haven,2023-02-05,7928.11,685.0699999999999,201.02,7042.0199999999995
Gourmet Haven,2023-02-06,7735.72,0.0,181.64,7554.08
Gourmet Haven,2023-02-07,7068.07,0.0,174.35999999999999,6893.71
Gourmet Haven,2023-02-08,7591.29,0.0,174.76,7416.53
Gourmet Haven,2023-02-09,7916.62,0.0,246.0,7670.62
Gourmet Haven,2023-02-10,7847.88,0.0,205.36,7642.52
Gourmet Haven,2023-02-11,7233.54,0.0,258.98,6974.5599999999995
Gourmet Haven,2023-02-12,7169.7,686.87,306.4,6176.43
Gourmet Haven,2023-02-13,7228.35,0.0,234.56,6993.79
Gourmet Haven,2023-02-14,7180.12,0.0,228.95999999999998,6951.16
Gourmet Haven,2023-02-15,7562.47,0.0,122.56,7439.91
Gourmet Haven,2023-02-16,7623.39,0.0,181.44,7441.950000000001
Gourmet Haven,2023-02-17,6723.34,0.0,202.88,6520.46
Gourmet Haven,2023-02-18,7644.28,0.0,121.92,7522.36
Gourmet Haven,2023-02-19,6779.33,1288.26,213.26000000000002,5277.8099999999995
Gourmet Haven,2023-02-20,7962.69,0.0,208.6,7754.089999999999
Gourmet Haven,2023-02-21,7408.19,0.0,214.28,7193.91
Gourmet Haven,2023-02-22,7901.76,0.0,274.06,7627.7
Gourmet Haven,2023-02-23,7357.64,0.0,217.14,7140.5
Gourmet Haven,2023-02-24,7190.0,0.0,307.4,6882.6
Gourmet Haven,2023-02-25,7592.8,0.0,182.82,7409.9800000000005
Gourmet Haven,2023-02-26,7585.96,581.39,177.12,6827.45
Gourmet Haven,2023-02-27,7610.4,0.0,295.29999999999995,7315.099999999999
Gourmet Haven,2023-02-28,7536.82,0.0,153.88,7382.94
Gourmet Haven,2023-03-01,7138.35,0.0,302.7,6835.650000000001
Gourmet Haven,2023-03-02,6488.45,0.0,203.82,6284.63
Gourmet Haven,2023-03-03,7824.25,0.0,199.05999999999997,7625.19
Gourmet Haven,2023-03-04,6725.9800000000005,0.0,203.01999999999998,6522.960000000001
Gourmet Haven,2023-03-05,8304.84,1366.57,213.48000000000002,6724.79
Gourmet Haven,2023-03-06,7644.77,0.0,241.67999999999998,7403.09
Gourmet Haven,2023-03-07,7961.63,0.0,202.43999999999997,7759.1900000000005
Gourmet Haven,2023-03-08,7113.4800000000005,0.0,173.35999999999999,6940.120000000001
Gourmet Haven,2023-03-09,7359.69,0.0,264.98,7094.709999999999
Gourmet Haven,2023-03-10,7085.12,0.0,180.78,6904.34
Gourmet Haven,2023-03-11,7432.63,0.0,181.56,7251.07
Gourmet Haven,2023-03-12,7625.05,864.14,307.0,6453.91
Gourmet Haven,2023-03-13,7605.04,0.0,176.39999999999998,7428.64
Gourmet Haven,2023-03-14,7514.66,0.0,264.82,7249.84
Gourmet Haven,2023-03-15,7805.02,0.0,299.9,7505.120000000001
Gourmet Haven,2023-03-16,7956.49,0.0,277.48,7679.01
Gourmet Haven,2023-03-17,7791.9,0.0,240.56,7551.339999999999
Gourmet Haven,2023-03-18,7363.7,0.0,233.24,7130.46
Gourmet Haven,2023-03-19,6645.95,791.5,152.42,5702.03
Gourmet Haven,2023-03-20,7206.47,0.0,150.82,7055.650000000001
Gourmet Haven,2023-03-21,6764.2300000000005,0.0,260.1,6504.13
Gourmet Haven,2023-03-22,7126.2,0.0,152.48000000000002,6973.719999999999
Gourmet Haven,2023-03-23,7299.27,0.0,174.35999999999999,7124.910000000001
Gourmet Haven,2023-03-24,7673.72,0.0,178.24,7495.4800000000005
Gourmet Haven,2023-03-25,7415.06,0.0,202.62,7212.4400000000005
Gourmet Haven,2023-03-26,7849.33,1338.57,237.28,6273.48
Gourmet Haven,2023-03-27,7624.05,0.0,180.24,7443.81
Gourmet Haven,2023-03-28,7103.42,0.0,277.48,6825.9400000000005
Gourmet Haven,2023-03-29,7039.59,0.0,121.47999999999999,6918.110000000001
Gourmet Haven,2023-03-30,7998.83,0.0,185.8,7813.03
Gourmet Haven,2023-03-31,7115.6,0.0,180.0,6935.6
Gourmet Haven,2023-04-01,6967.29,0.0,264.97999999999996,6702.31
Gourmet Haven,2023-04-02,7230.69,850.9,198.06,6181.73
Gourmet Haven,2023-04-03,6990.09,0.0,236.48000000000002,6753.610000000001
Gourmet Haven,2023-04-04,7720.65,0.0,176.35999999999999,7544.29
Gourmet Haven,2023-04-05,7248.75,0.0,175.16,7073.59
Gourmet Haven,2023-04-06,7008.23,0.0,231.92000000000002,6776.3099999999995
Gourmet Haven,2023-04-07,7134.25,0.0,176.2,6958.05
Gourmet Haven,2023-04-08,7253.37,0.0,184.28,7069.09
Gourmet Haven,2023-04-09,7177.74,801.3,249.76,6126.68
Gourmet Haven,2023-04-10,7510.82,0.0,209.45999999999998,7301.36
Gourmet Haven,2023-04-11,7631.79,0.0,213.64,7418.15
Gourmet Haven,2023-04-12,6994.76,0.0,182.46,6812.3
Gourmet Haven,2023-04-13,7276.81,0.0,174.6,7102.21
Gourmet Haven,2023-04-14,7263.97,0.0,146.57999999999998,7117.39
Gourmet Haven,2023-04-15,6885.63,0.0,215.04,6670.59
Gourmet Haven,2023-04-16,7397.21,1099.3899999999999,173.24,6124.58
Gourmet Haven,2023-04-17,7332.63,0.0,238.94,7093.6900000000005
Gourmet Haven,2023-04-18,7693.8099999999995,0.0,237.56,7456.249999999999
Gourmet Haven,2023-04-19,6802.38,0.0,208.3,6594.08
Gourmet Haven,2023-04-20,7504.83,0.0,240.64,7264.19
Gourmet Haven,2023-04-21,7058.05,0.0,185.64000000000001,6872.41
Gourmet Haven,2023-04-22,7370.41,0.0,265.12,7105.29
Gourmet Haven,2023-04-23,7147.4,718.48,243.96,6184.959999999999
Gourmet Haven,2023-04-24,7456.04,0.0,174.76,7281.28
Gourmet Haven,2023-04-25,7803.84,0.0,273.08,7530.76
Gourmet Haven,2023-04-26,7605.63,0.0,278.02,7327.610000000001
Gourmet Haven,2023-04-27,6977.36,0.0,178.28,6799.08
Gourmet Haven,2023-04-28,7049.53,0.0,276.48,6773.049999999999
Gourmet Haven,2023-04-29,7780.2699999999995,0.0,142.1,7638.169999999999
Gourmet Haven,2023-04-30,7483.3,861.3299999999999,212.01999999999998,6409.950000000001
Gourmet Haven,2023-05-01,7230.28,0.0,175.92,7054.36
Gourmet Haven,2023-05-02,7299.59,0.0,214.18,7085.41
Gourmet Haven,2023-05-03,7929.63,0.0,238.98,7690.650000000001
Gourmet Haven,2023-05-04,6963.34,0.0,155.26,6808.08
Gourmet Haven,2023-05-05,7456.21,0.0,147.6,7308.61
Gourmet Haven,2023-05-06,7312.96,0.0,236.16,7076.8
Gourmet Haven,2023-05-07,7480.64,1077.76,151.84,6251.040000000001
Gourmet Haven,2023-05-08,7782.42,0.0,208.6,7573.82
Gourmet Haven,2023-05-09,7870.24,0.0,211.8,7658.44
Gourmet Haven,2023-05-10,7231.91,0.0,232.29999999999998,6999.61
Gourmet Haven,2023-05-11,7298.14,0.0,229.79999999999998,7068.34
Gourmet Haven,2023-05-12,8087.91,0.0,217.14,7870.7699999999995
Gourmet Haven,2023-05-13,7879.74,0.0,179.96,7699.78
Gourmet Haven,2023-05-14,7192.91,1436.28,245.46,5511.17
Gourmet Haven,2023-05-15,7651.91,0.0,245.5,7406.41
Gourmet Haven,2023-05-16,7556.47,0.0,214.44,7342.030000000001
Gourmet Haven,2023-05-17,7403.05,0.0,202.32,7200.7300000000005
Gourmet Haven,2023-05-18,7337.29,0.0,177.12,7160.17
Gourmet Haven,2023-05-19,7385.24,0.0,148.72,7236.5199999999995
Gourmet Haven,2023-05-20,7242.37,0.0,178.2,7064.17
Gourmet Haven,2023-05-21,7562.88,839.65,204.16,6519.07
Gourmet Haven,2023-05-22,7804.5199999999995,0.0,217.54,7586.98
Gourmet Haven,2023-05-23,7705.36,0.0,213.89999999999998,7491.46
Gourmet Haven,2023-05-24,7406.38,0.0,238.94,7167.4400000000005
Gourmet Haven,2023-05-25,7414.31,0.0,183.04,7231.27
Gourmet Haven,2023-05-26,7472.42,0.0,173.94,7298.4800000000005
Gourmet Haven,2023-05-27,7127.97,0.0,276.78000000000003,6851.1900000000005
Gourmet Haven,2023-05-28,7332.3,910.72,239.92000000000002,6181.66
Gourmet Haven,2023-05-29,7117.03,0.0,215.74,6901.29
Gourmet Haven,2023-05-30,7633.97,0.0,298.0,7335.97
Gourmet Haven,2023-05-31,7479.19,0.0,215.62,7263.57
Gourmet Haven,2023-06-01,7455.74,0.0,153.32,7302.42
Gourmet Haven,2023-06-02,7553.08,0.0,155.54,7397.54
Gourmet Haven,2023-06-03,7956.7,0.0,241.28,7715.42
Gourmet Haven,2023-06-04,7780.64,1314.57,243.86,6222.210000000001
Gourmet Haven,2023-06-05,7475.39,0.0,174.44,7300.950000000001
Gourmet Haven,2023-06-06,7036.49,0.0,213.28,6823.21
Gourmet Haven,2023-06-07,6993.34,0.0,147.33999999999997,6846.0
