Day,Shift,Role,Available Employees,Unavailable Employees
1,Morning,Kitchen Staff,"Mark, Jake","Emma, John, Alice"
1,Morning,Servers,"Max, Lily",Sarah
1,Morning,Managers,"Tom, Emma",Lily
1,Morning,Cleaners,"Jake, Max",Jane
1,Afternoon,Kitchen Staff,"Jake, John","Emma, Alice, Mark"
1,Afternoon,Servers,"Sarah, Max",Lily
1,Afternoon,Managers,"Tom, Lily",Emma
1,Afternoon,Cleaners,"Max, Jake",Jane
1,Evening,Kitchen Staff,"Alice, Mark","Jake, Emma, John"
1,Evening,Servers,"Sarah, Lily",Max
1,Evening,Managers,"Emma, Tom",Lily
1,Evening,Cleaners,"Jake, Jane",Max
2,Morning,Kitchen Staff,"Alice, Mark","Jake, Emma, John"
2,Morning,Servers,"Lily, Sarah",Max
2,Morning,Managers,"Lily, Tom",Emma
2,Morning,Cleaners,"Max, Jane",Jake
2,Afternoon,Kitchen Staff,"John, Mark","Jake, Emma, Alice"
2,Afternoon,Servers,"Lily, Max",Sarah
2,Afternoon,Managers,"Lily, Tom",Emma
2,Afternoon,Cleaners,"Jane, Max",Jake
2,Evening,Kitchen Staff,"Emma, Mark","Jake, John, Alice"
2,Evening,Servers,"Max, Sarah",Lily
2,Evening,Managers,"Tom, Lily",Emma
2,Evening,Cleaners,"Jane, Jake",Max
3,Morning,Kitchen Staff,"Mark, Emma","Jake, John, Alice"
3,Morning,Servers,"Max, Lily",Sarah
3,Morning,Managers,"Tom, Emma",Lily
3,Morning,Cleaners,"Max, Jane",Jake
3,Afternoon,Kitchen Staff,"Alice, John","Jake, Emma, Mark"
3,Afternoon,Servers,"Sarah, Max",Lily
3,Afternoon,Managers,"Emma, Lily",Tom
3,Afternoon,Cleaners,"Jake, Max",Jane
3,Evening,Kitchen Staff,"Jake, Alice","Emma, John, Mark"
3,Evening,Servers,"Sarah, Lily",Max
3,Evening,Managers,"Lily, Emma",Tom
3,Evening,Cleaners,"Jake, Max",Jane
4,Morning,Kitchen Staff,"Jake, Alice","Emma, John, Mark"
4,Morning,Servers,"Sarah, Max",Lily
4,Morning,Managers,"Emma, Tom",Lily
4,Morning,Cleaners,"Jake, Jane",Max
4,Afternoon,Kitchen Staff,"John, Mark","Jake, Emma, Alice"
4,Afternoon,Servers,"Lily, Sarah",Max
4,Afternoon,Managers,"Tom, Emma",Lily
4,Afternoon,Cleaners,"Max, Jake",Jane
4,Evening,Kitchen Staff,"Emma, John","Jake, Alice, Mark"
4,Evening,Servers,"Lily, Max",Sarah
4,Evening,Managers,"Lily, Tom",Emma
4,Evening,Cleaners,"Jane, Jake",Max
5,Morning,Kitchen Staff,"Mark, Alice","Jake, Emma, John"
5,Morning,Servers,"Sarah, Max",Lily
5,Morning,Managers,"Emma, Tom",Lily
5,Morning,Cleaners,"Jane, Max",Jake
5,Afternoon,Kitchen Staff,"Emma, Jake","John, Alice, Mark"
5,Afternoon,Servers,"Sarah, Lily",Max
5,Afternoon,Managers,"Lily, Emma",Tom
5,Afternoon,Cleaners,"Jake, Jane",Max
5,Evening,Kitchen Staff,"John, Alice","Jake, Emma, Mark"
5,Evening,Servers,"Lily, Max",Sarah
5,Evening,Managers,"Emma, Tom",Lily
5,Evening,Cleaners,"Max, Jane",Jake
6,Morning,Kitchen Staff,"John, Mark","Jake, Emma, Alice"
6,Morning,Servers,"Max, Sarah",Lily
6,Morning,Managers,"Tom, Emma",Lily
6,Morning,Cleaners,"Jane, Jake",Max
6,Afternoon,Kitchen Staff,"Emma, Alice","Jake, John, Mark"
6,Afternoon,Servers,"Max, Sarah",Lily
6,Afternoon,Managers,"Emma, Lily",Tom
6,Afternoon,Cleaners,"Jane, Jake",Max
6,Evening,Kitchen Staff,"Mark, Alice","Jake, Emma, John"
6,Evening,Servers,"Lily, Max",Sarah
6,Evening,Managers,"Lily, Tom",Emma
6,Evening,Cleaners,"Max, Jake",Jane
7,Morning,Kitchen Staff,"Emma, Jake","John, Alice, Mark"
7,Morning,Servers,"Sarah, Max",Lily
7,Morning,Managers,"Lily, Emma",Tom
7,Morning,Cleaners,"Max, Jane",Jake
7,Afternoon,Kitchen Staff,"Alice, Jake","Emma, John, Mark"
7,Afternoon,Servers,"Sarah, Max",Lily
7,Afternoon,Managers,"Emma, Lily",Tom
7,Afternoon,Cleaners,"Jake, Max",Jane
7,Evening,Kitchen Staff,"Jake, Emma","John, Alice, Mark"
7,Evening,Servers,"Sarah, Max",Lily
7,Evening,Managers,"Tom, Lily",Emma
7,Evening,Cleaners,"Jake, Max",Jane
8,Morning,Kitchen Staff,"Mark, John","Jake, Emma, Alice"
8,Morning,Servers,"Max, Lily",Sarah
8,Morning,Managers,"Lily, Emma",Tom
8,Morning,Cleaners,"Jane, Jake",Max
8,Afternoon,Kitchen Staff,"John, Mark","Jake, Emma, Alice"
8,Afternoon,Servers,"Sarah, Lily",Max
8,Afternoon,Managers,"Lily, Emma",Tom
8,Afternoon,Cleaners,"Jake, Jane",Max
8,Evening,Kitchen Staff,"Mark, John","Jake, Emma, Alice"
8,Evening,Servers,"Sarah, Lily",Max
8,Evening,Managers,"Lily, Tom",Emma
8,Evening,Cleaners,"Jake, Jane",Max
